activity_tag,domain,citation,pmid,doi,design,population,comparator,outcome,value_as_printed,evidence_hierarchy,confidence,notes
LEGACY_VERIFICATION,statin-CCB-case,"Ehelepola NDB et al. Case Rep Med. 2017;2017:8383251.",28487744,10.1155/2017/8383251,case report,1 elderly male,atorvastatin+diltiazem,rhabdomyolysis,"atorvastatin x3yr + diltiazem x1wk -> rhabdomyolysis (CK elevated); subsequent hypothyroidism diagnosis; resolved with levothyroxine",OBSERVATIONAL EVIDENCE,HIGH,single case; not generalizable to incidence
LEGACY_VERIFICATION,statin-warfarin-DDI,"Engell AE et al. Br J Clin Pharmacol. 2021;87(2):694-699.",32533893,10.1111/bcp.14428,cohort study (Danish registry),"simvastatin n=1363; atorvastatin n=165; rosuvastatin n=23",statin initiation in warfarin users,INR change,"simvastatin INR 2.40->2.71, mean change 0.32 (95% CI 0.25-0.38); atorvastatin change 0.27 (95% CI 0.12-0.42); rosuvastatin change 0.30 (95% CI -0.09-0.69, CI crosses zero, small n)",OBSERVATIONAL EVIDENCE,HIGH,authors conclude 'likely of limited clinical relevance' for most patients
LEGACY_VERIFICATION,polypharmacy-AKI,"Harężlak T et al. Adv Ther. 2022;39(1):140-147.",34845649,10.1007/s12325-021-01939-9,narrative review,n/a,n/a,Triple Whammy (ACEI/ARB+diuretic+NSAID) AKI mechanism,"no effect-size numbers given in abstract",MECHANISTIC SUPPORT,HIGH,
LEGACY_VERIFICATION,antidiabetic-DDI,"Casiglia E, Tikhonoff V. Hypertension. 2017;70(1):42-43.",28559390,10.1161/HYPERTENSIONAHA.117.09378,editorial/comment (not primary data),n/a,n/a,beta-blocker-elicited hypoglycemia masking,"comment on Hypertension 2017;70(1):103-110; no independent numeric findings",EXPERT INTERPRETATION,HIGH,FLAG: this is a comment/letter not a primary study - do not cite as primary data source
LEGACY_VERIFICATION,statin-intolerance-guideline,"Chien SC et al. J Formos Med Assoc. 2019;118(10):1385-1392.",30584005,10.1016/j.jfma.2018.11.017,expert consensus (Taiwan Society of Lipids and Atherosclerosis),n/a,n/a,2019 Taiwan statin intolerance consensus,"pragmatic criteria for statin intolerance in Taiwan; muscle events and LFT changes account for most discontinuation-driving AEs",GUIDELINE/CONSENSUS,HIGH,"TOPIC CORRECTION vs 02_SOURCE-INVENTORY.md #23 (currently labeled 'statin discontinuation outcomes'); this is the 2019 precursor to the 2026 Taiwan STS consensus - reported to Director for inventory update"
LEGACY_VERIFICATION,combo-strategy-NODM,"Sydhom P et al. BMC Cardiovasc Disord. 2024;24(1):660.",39567875,10.1186/s12872-024-04144-y,systematic review + meta-analysis (15 studies; 251450 participants),low/moderate-intensity statin+ezetimibe vs high-intensity statin,pooled across trial types,composite/CV death/NODM etc,"Observational pooled: composite CV death/MACE HR 0.76 (0.73-0.80); CV death HR 0.80 (0.74-0.88); all-cause death HR 0.84 (0.78-0.91); non-fatal stroke HR 0.81 (0.75-0.87); NODM HR 0.80 (0.74-0.87). RCT pooled: no significant difference on clinical endpoints; LDL<70 attainment RR 1.27 (1.21-1.34); LDL-C MD -7.95 (-10.02,-5.89); TC MD -26.77 (-27.64,-25.89); muscle AE RR 0.52 (0.32-0.85); liver enzyme elevation RR 0.51 (0.29-0.89)",INDIRECT EVIDENCE (RCT-pooled figures) / OBSERVATIONAL EVIDENCE (obs-pooled hard outcomes and NODM),HIGH,"not pitavastatin-specific (pools rosuvastatin etc, same caveat as RACING per CLAUDE.md sec7); do not conflate with Singh 2024"
NEW_SOURCE_DISCOVERY,glycemic-NODM,"Singh H et al. Expert Rev Clin Pharmacol. 2024;17(12):1173-1181.",39587804,10.1080/17512433.2024.2433603,systematic review + meta-analysis (13 studies RCT+observational),statin users,pitavastatin vs atorvastatin; pitavastatin vs rosuvastatin,NODM risk,"vs atorvastatin RR 0.86 (95% CI 0.79-0.93), p=0.0002; vs rosuvastatin RR 0.77 (95% CI 0.71-0.84), p<0.00001",INDIRECT EVIDENCE,MODERATE,"THIS is the '2024 systematic review' referenced generically in pitavastatin topic.md - PROSPERO CRD42022371741; abstract-level verification only, full text not obtained"
NEW_SOURCE_DISCOVERY,glycemic-NODM,"Seo WW et al. Cardiovasc Diabetol. 2022;21(1):82.",35606846,10.1186/s12933-022-01524-6,distributed network cohort analysis (10 OMOP-CDM real-world DBs, Korea, PSM 1:2),"new statin users w/o baseline DM or HbA1c>=5.7%; pitavastatin n=10238 vs atorva+rosuva n=18605",pitavastatin vs atorvastatin+rosuvastatin combined,NODM,"HR 0.72 (95% CI 0.59-0.87) combined; 0.69 (0.54-0.88) vs atorvastatin alone; 0.74 (0.55-0.99) vs rosuvastatin alone; 0.78 (0.62-0.98) vs low/moderate-intensity atorva+rosuva",OBSERVATIONAL EVIDENCE,MODERATE,abstract-level verification only
NEW_SOURCE_DISCOVERY,glycemic-NODM,"Vallejo-Vaz AJ et al. Atherosclerosis. 2015;241(2):409-418.",26074315,10.1016/j.atherosclerosis.2015.06.001,meta-analysis (15 RCTs, ~1600 person-years),non-diabetic individuals,pitavastatin vs placebo/other statin,"FBG, HbA1c, NOD","FBG MD -0.01 mg/dL (95% CI -0.77,0.74) I2=0%; HbA1c MD -0.03% (95% CI -0.11,0.05) I2=43%; NOD RR 0.70 (95% CI 0.30,1.61) RD 0.0 (95% CI -0.004,0.003) I2=0%",INDIRECT EVIDENCE,MODERATE,"authors flag possible publication bias for NOD outcome; abstract states 'pitavastatin did not adversely affect glucose metabolism' - project framing rule applies, do not repeat verbatim"
NEW_SOURCE_DISCOVERY,glycemic-NODM-Taiwan,"Liu PY et al (PAPAGO-T). PLoS ONE. 2013;8(10):e76298.",24098467,10.1371/journal.pone.0076298,RCT double-blind non-inferiority 12wk,"high-risk ethnic Chinese, Taiwan, n=225 (DM subgroup n=125)",pitavastatin 2mg (n=112) vs atorvastatin 10mg (n=113),LDL-C; HbA1c; HOMA-IR/insulin,"LDL-C -35.0+/-14.1% vs -38.4+/-12.8% (both p<0.001); DM subgroup LDL-C -37.1+/-12.9% vs -38.0+/-13.1% (p=0.62); HbA1c significantly higher with atorvastatin (p=0.001) but not pitavastatin; HOMA-IR/insulin rose similarly both arms",DIRECT EVIDENCE,MODERATE,"only Taiwan RCT found for this domain; erratum exists PLoS One 2014;9(11):e114175 - check before citing"
NEW_SOURCE_DISCOVERY,glycemic-NODM-Taiwan,"Huang CH et al. J Diabetes Investig. 2016;7(6):769-776 (approx; PMID-linked).",27181110,10.1111/jdi.12483,retrospective chart review 6mo (Chang Gung Taiwan),"T2DM Taiwan, n=222 analyzed of 340 reviewed",naive-to-pitavastatin (N->P) and atorvastatin-switched-to-pitavastatin (A->P) vs continued atorvastatin,HbA1c,"N->P: 8.1->7.4%, p=0.018; A->P: 9.7->9.0%, p=0.015; negative correlation baseline HbA1c vs delta-HbA1c (N->P rho=-0.329 p=0.006; A->P rho=-0.480 p<0.001)",OBSERVATIONAL EVIDENCE,MODERATE,
NEW_SOURCE_DISCOVERY,glycemic-NODM-Japan,"Sasaki J et al. Clin Ther. 2008;30(6):1141-1149 (approx).",18640465,10.1016/j.clinthera.2008.05.017,RCT open-label 52wk,"Japanese, elevated LDL-C + glucose intolerance (89% had DM), n=173 evaluable",pitavastatin 2mg vs atorvastatin 10mg,glucose metabolism; HDL-C,"no significant between-group differences in FBG/HbA1c/fasting insulin/HOMA-IR; HDL-C +8.2% vs +2.9% (p=0.031) favoring pitavastatin",DIRECT EVIDENCE,MODERATE,
NEW_SOURCE_DISCOVERY,glycemic-NODM-Japan,"Mita T et al. J Diabetes Investig. 2013;4(3):297-303 (approx).",24843669,10.1111/jdi.12032,RCT quasi-randomized crossover 12+12wk,"Japanese T2DM w/ hypercholesterolemia, n=28",pitavastatin 2mg vs atorvastatin 10mg,HbA1c; glycoalbumin; FBG; HOMA-IR,"HbA1c difference -0.18% (95% CI -0.34,-0.02), p=0.03 favoring pitavastatin; pitavastatin also lowered glycoalbumin/FBG/HOMA-IR vs atorvastatin",DIRECT EVIDENCE,MODERATE,
NEW_SOURCE_DISCOVERY,glycemic-dose-1mg,"Nakagomi A et al. J Atheroscler Thromb. 2015;22(11):1169-1181 (approx).",26084792,10.5551/jat.29520,RCT 12mo,"hypercholesterolemia, no known CVD, n=146",atorvastatin 5mg (n=73) vs pitavastatin 1mg (n=73),HOMA-IR; MCP-1; CIMT,"HOMA-IR: atorvastatin +26%, pitavastatin -13% (p<0.001); MCP-1 -11% vs -28% (p=0.016); CIMT -0.5% vs -4.9% (p=0.020)",DIRECT EVIDENCE,MODERATE,only identified pitavastatin 1mg-dose glycemic RCT
NEW_SOURCE_DISCOVERY,glycemic-NODM-Japan,"Yanagi K et al. Adv Ther. 2011;28(2):160-171 (approx).",21222064,10.1007/s12325-010-0098-2,RCT crossover/parallel 24wk,"Japanese T2DM, n=90",rosuvastatin 2.5mg vs pitavastatin 2mg,glycemic control; LDL-C,"glycemic control described as 'no adverse effect' in either arm, no numeric glycemic data in abstract; LDL-C -44.1% (ROS) vs -36.9% (PIT), p<0.01",DIRECT EVIDENCE,LOW,no numeric glycemic data available at abstract level
NEW_SOURCE_DISCOVERY,glycemic-NMA,"Cui JY et al. J Clin Pharm Ther. 2018;43(4):556-570 (approx).",29733433,10.1111/jcpt.12690,network meta-analysis (23 RCTs),T2DM,"pitavastatin, atorvastatin, rosuvastatin at stated intensities",HbA1c; FPG,"moderate pitavastatin vs moderate atorvastatin HbA1c SMD -0.16; vs high-intensity atorvastatin SMD -0.77; vs moderate rosuvastatin SMD -0.16; FPG vs placebo SMD -0.55, vs moderate atorva/rosuva SMD -0.65, vs high-intensity atorva SMD -1.25",INDIRECT EVIDENCE,MODERATE,
NEW_SOURCE_DISCOVERY,glycemic-dose-4mg,"Chapman MJ et al (CAPITAIN/PREVAIL-US). Curr Med Res Opin. 2014;30(5):775-784 (approx).",24328357,10.1185/03007995.2013.874989,"RCT (CAPITAIN n=12) + validation subset of PREVAIL-US RCT (n=9) + pravastatin comparison (n=14)",metabolic syndrome,high-dose pitavastatin 4mg/day,HbA1c; insulin; HOMA-IR; QUICKI; FPG,"no significant change from baseline in HbA1c/insulin/HOMA-IR/QUICKI at day 180; small FPG rise +4% (p<0.05)",DIRECT EVIDENCE,MODERATE,only identified pitavastatin 4mg-dose glycemic RCT data point
NEW_SOURCE_DISCOVERY,glycemic-dose-band,"Trias F et al (PRELIPID). Med Clin (Barc). 2022;159(4):161-168 (approx).",34517987,10.1016/j.medcli.2021.06.018,cross-sectional observational multicenter (Spain),"prediabetes + dyslipidemia, n=407","pitavastatin 1-4mg vs atorvastatin 10-20mg/40-80mg, simvastatin, pravastatin, rosuvastatin",HbA1c,"HbA1c differed across groups (p=0.015); pitavastatin 1-4mg lowest HbA1c, significant vs atorvastatin 40-80mg (p=0.016) and simvastatin 10-40mg (p=0.036); atorvastatin 40-80mg highest HbA1c vs atorvastatin 10-20mg (p=0.003)",OBSERVATIONAL EVIDENCE,MODERATE,dose-band signal within atorvastatin plus pitavastatin comparator band; not a pitavastatin-only dose-response RCT
NEW_SOURCE_DISCOVERY,glycemic-NODM-Korea,"Lee J et al. J Clin Med. 2022;11(22):6756.",36431233,10.3390/jcm11226756,RCT open-label 24wk,"T2DM Korea, n=93",pitavastatin 2mg (n=44) vs diet/exercise only (n=49),HOMA-IR; adiponectin,"HOMA-IR lower in pitavastatin group but not significant (p=0.5921 at 12wk, p=0.3645 at 24wk); no significant adiponectin change",DIRECT EVIDENCE,MODERATE,
NEW_SOURCE_DISCOVERY,glycemic-dose-4mg,"Devi G et al. Cureus. 2025;17:e90307.",40964577,10.7759/cureus.90307,RCT open-label 12wk (India),"T2DM+dyslipidemia on metformin+glimepiride, n approx 70 analyzed",pitavastatin 4mg (n=40 enrolled) vs atorvastatin 20mg (n=44 enrolled),FBG; HbA1c,"FBG improvement 22.7+/-11.6% vs 15.4+/-6.4% (p=0.004) favoring pitavastatin; HbA1c % change 6.4+/-1.9 vs 5.4+/-2.3 (p=0.09, NS)",DIRECT EVIDENCE,MODERATE,
NEW_SOURCE_DISCOVERY,glycemic-dose-comparison-gap,"CAMPUS trial protocol",n/a,n/a (protocol PMID 30187345; NCT03532620),RCT protocol only - no results found,"China, prediabetes+HTN+dyslipidemia, n=396 planned",pitavastatin 2mg vs atorvastatin 20mg,HbA1c (primary),NO RESULTS PUBLICATION LOCATED,INSUFFICIENT EVIDENCE,LOW,BLOCKED_FOR_SOURCE candidate - verify ClinicalTrials.gov completion status
NEW_SOURCE_DISCOVERY,glycemic-dose-comparison-gap,"LESS-DM trial protocol",n/a,n/a (protocol PMID 29078817),RCT protocol only - no results found,"metabolic syndrome, n=500 planned",pitavastatin 4mg vs atorvastatin 20mg,HbA1c (primary) / NODM+CVD incidence (secondary),NO RESULTS PUBLICATION LOCATED,INSUFFICIENT EVIDENCE,LOW,BLOCKED_FOR_SOURCE candidate
NEW_SOURCE_DISCOVERY,DDI-label,"LIVALO (pitavastatin calcium) US FDA label, DailyMed setid 44dcbf97-99ec-427c-ba50-207e0069d6d2",n/a,n/a,regulatory label,n/a,cyclosporine,AUC/Cmax fold change,"4.6-fold AUC increase; 6.6-fold Cmax increase; CONTRAINDICATED",DIRECT EVIDENCE,HIGH,
NEW_SOURCE_DISCOVERY,DDI-label,"LIVALO US FDA label",n/a,n/a,regulatory label,n/a,erythromycin,AUC/Cmax fold change,"2.8-fold AUC increase; 3.6-fold Cmax increase; dose capped at 1mg/day",DIRECT EVIDENCE,HIGH,
NEW_SOURCE_DISCOVERY,DDI-label,"LIVALO US FDA label",n/a,n/a,regulatory label,n/a,rifampin,AUC/Cmax fold change,"AUC +29%; Cmax 2.0-fold increase; dose capped at 2mg/day; label reflects single co-administered dose, not chronic induction dosing",DIRECT EVIDENCE,HIGH,see ddi-matrix.md rifampin caveat
NEW_SOURCE_DISCOVERY,DDI-label,"LIVALO US FDA label",n/a,n/a,regulatory label,n/a,gemfibrozil,AUC/Cmax fold change,"AUC +45%; Cmax +31%; avoid concomitant use",DIRECT EVIDENCE,HIGH,
NEW_SOURCE_DISCOVERY,DDI-label,"LIVALO US FDA label",n/a,n/a,regulatory label,n/a,fenofibrate,AUC/Cmax fold change,"AUC +18%; Cmax +11%; no specific dose restriction stated",DIRECT EVIDENCE,HIGH,
NEW_SOURCE_DISCOVERY,DDI-mechanism,"Itraconazole/pitavastatin PK study (title only)",27121674,n/a,RCT/PK study (design unconfirmed - title only),healthy subjects,itraconazole (strong CYP3A4 inhibitor),pitavastatin plasma concentration,"title: 'Pitavastatin Concentrations Are Not Increased by CYP3A4 Inhibitor Itraconazole in Healthy Subjects' - abstract numbers not yet pulled",MECHANISTIC SUPPORT,MODERATE,priority follow-up: pull full abstract/numbers next round
NEW_SOURCE_DISCOVERY,dose-comparison-K924,"Tsujita K et al. J Atheroscler Thromb. 2023.",36908150,n/a (PMC10627746),RCT double-blind 4-arm factorial 12wk (Japan/Kowa product K-924),general dyslipidemia population Japan,"PS2 (pitavastatin 2mg) vs PS4 (4mg) vs K-924 LD (2mg/eze10mg) vs K-924 HD (4mg/eze10mg), n=72/arm",LDL-C % change; AE; ADR; CK; ALT/AST; HbA1c,"LDL-C: PS2 -39.5%, PS4 -45.2%, K-924 LD -51.4%, K-924 HD -57.8%. AE: 16.7%,26.4%,25.0%,19.4%. ADR: 2.8%,6.9%,5.6%,6.9%. CK-elevation events: 2.8%,4.2%,1.4%,0%. CK delta wk12: +14.9+/-64.6, +50.9+/-247.7, +19.6+/-48.2, +22.0+/-50.5 U/L. ALT elevation: 0%,5.6%,2.8%,5.6%. AST elevation: 0%,0%,1.4%,2.8%. HbA1c change <=0.11% all groups, no NODM reported.",INDIRECT EVIDENCE (different FDC product/population than Taiwan trial),HIGH,"key finding: K-924 LD (2mg+eze10) LDL reduction -51.4% exceeds PS4 alone -45.2%, supporting add-ezetimibe-over-dose-escalation; no CKD/elderly subgroup reported"
NEW_SOURCE_DISCOVERY,dose-comparison-K924-extension,"Ako J et al. J Atheroscler Thromb. 2023;31(3):288-305.",n/a,n/a (PMC10918028),open-label extension 52wk (K-924 HD/LD continuation),Japan,K-924 LD and HD continued from 12wk RCT,"overall AE; ADR; serious AE; discontinuation; CK; ALT/AST; glucose/HbA1c","overall AE 59.6% (65/109 pts, 129 events); ADR 0.9%; serious AE 11.0% (12 pts, 15 events); discontinuation due to AE 0.9% (1 pt). CK: 1 ADR event (K-924 HD), baseline 202 U/L -> wk12 843 U/L -> recovered 125-438 U/L; no patient reached >=10x ULN CK. No patient reached >=3x ULN ALT/AST on 2 consecutive visits. Glucose 113.6+/-17.8 -> 116.1+/-22.1 mg/dL (p=0.049); HbA1c 6.39+/-0.72% -> 6.55+/-0.85% (p<0.001), described by authors as remaining within/near reference range.",INDIRECT EVIDENCE (different FDC product/population than Taiwan trial),HIGH,no CKD/elderly subgroup reported - BLOCKED_FOR_SOURCE candidate for that specific gap
NEW_SOURCE_DISCOVERY,dose-comparison-TaiwanFDC-safety,"Chou MT et al. Clin Ther. 2022;44(10):1272-1281 (1PC111 trial) - SAFETY data only",n/a,10.1016/j.clinthera.2022.08.006,RCT (Taiwan/Australia/NZ),n/a,pitavastatin2/ezetimibe10 vs pitavastatin2 vs ezetimibe10,ADR incidence,"UNVERIFIED figure from AI search summary only: 8.6%/6.1%/7.0% across 3 groups - NOT independently confirmed against primary source",INSUFFICIENT EVIDENCE,LOW,"FLAG=UNVERIFIED_SECONDARY; ACTION=NEEDS_ANALYST; DO NOT use in synthesis/manuscript until re-verified via research_hub (metadata-only, not download_paper) or direct PDF"
NEW_SOURCE_DISCOVERY,STS-consensus,"Wu YJ et al. J Formos Med Assoc. 2026 Apr.",n/a,10.1016/j.jfma.2026.04.111,consensus statement (Taiwan Society of Lipids and Atherosclerosis),n/a,n/a,STS definition and treatment algorithm,"STS described (per abstract synopsis, not full-text verbatim) as broader/more pragmatic than formal statin intolerance; ezetimibe first add-on for high/very-high risk; early combination (ezetimibe+bempedoic acid) for extremely-high risk with escalation to PCSK9-based therapy if LDL-C<55 not met",GUIDELINE/CONSENSUS,MODERATE,"citation FOUND via Crossref - corrects 02_SOURCE-INVENTORY.md T-005 'not yet located' status; full text still paywalled"
NEW_SOURCE_DISCOVERY,statin-intolerance-definition,"Bays H et al (NLA). J Clin Lipidol. 2022.",35718660,n/a,consensus/guideline (NLA),n/a,n/a,formal statin intolerance definition,"one or more adverse effects associated with statin therapy which resolve/improve with dose reduction or discontinuation; complete vs partial intolerance categories",GUIDELINE/CONSENSUS,MODERATE,secondary summary quoted, not primary PDF (paywalled)
NEW_SOURCE_DISCOVERY,statin-intolerance-definition,"Stroes ES et al (EAS Consensus Panel). Eur Heart J. 2015;36:1012-1022.",n/a,n/a,consensus/guideline (EAS),n/a,n/a,SAMS classification by CK threshold,"myalgia (CK normal/mild elevation <4xULN) vs myositis (CK usually >10xULN); panel avoided term 'statin intolerance' for muscle-specific symptoms as imprecise",GUIDELINE/CONSENSUS,MODERATE,secondary summary quoted, not primary PDF (paywalled)
NEW_SOURCE_DISCOVERY,glycemic-NODM-elderly,"Li H, Li J. Br J Hosp Med. 2026;87(7).",42528438,10.31083/bjhm56151,retrospective cohort (China, single-center),"elderly ASCVD patients >=60y, n=126 (pitavastatin 4mg n=58 vs atorvastatin 20mg n=68)",pitavastatin 4mg vs atorvastatin 20mg,HDL-C; FPG; HbA1c; NODM,"HDL-C 1.41+/-0.30 vs 1.26+/-0.28 mmol/L (p=0.005); FPG 5.85+/-0.70 vs 6.19+/-0.85 mmol/L (p=0.018); HbA1c 6.10+/-0.42% vs 6.33+/-0.51% (p=0.009); NODM 0% vs 10.29%; OR 0.212 (p=0.018) for pitavastatin as protective factor",OBSERVATIONAL EVIDENCE,MODERATE,"Wave 2 new find via research_hub search_papers; not open access (BLOCKED_FOR_SOURCE for full text, abstract-level only); small single-center retrospective, unequal comparator doses (4mg=pitavastatin ceiling dose vs 20mg=mid-range atorvastatin dose) - disclose this limitation if cited; partially fills the elderly-subgroup gap flagged in Wave 1"
NEW_SOURCE_DISCOVERY,DDI-mechanism-verified,"Corsini A, Ceska R. Curr Med Res Opin. 2011;27(8):1551-1562.",n/a,10.1185/03007995.2011.589433,narrative review,n/a,n/a,DDI review title,"'Drug-drug interactions with statins: will pitavastatin overcome the statins' Achilles' heel?' - bibliographic VERIFIED_MATCH via Crossref against Tonvasca_2026.md line 2792 citation (T-013 resolved); full text not obtained (paywalled, download_paper tool prohibited)",EXPERT INTERPRETATION,HIGH,bibliographic verification only
NEW_SOURCE_DISCOVERY,DDI-label-relabel,"LIVALO US FDA label, DailyMed setid 44dcbf97-99ec-427c-ba50-207e0069d6d2 (Wave 2 direct re-verification)",n/a,n/a,regulatory label,n/a,clarithromycin,mention in label,"CONFIRMED_ABSENT_FROM_LABEL - clarithromycin not mentioned anywhere in Section 7 or elsewhere in this label version (label revision date 2026-03-31); this is a confirmed gap in the label itself, not a retrieval failure",MECHANISTIC INFERENCE (absence, not evidence of no interaction),HIGH,independently re-verified directly (not secondary transcription) per Director Wave 2 task
NEW_SOURCE_DISCOVERY,DDI-label-relabel,"LIVALO US FDA label (Wave 2 direct re-verification)",n/a,n/a,regulatory label,n/a,"fibrates (class); niacin >=1g/day; colchicine",dosing caution language,"Fibrates: 'may cause myopathy when given alone; risk of myopathy and rhabdomyolysis is increased with concomitant use of fibrates with statins, including LIVALO' (Section 7, no specific fold-change). Niacin >=1g/day and colchicine: 'consider if benefit outweighs increased risk' (Section 7, no specific fold-change)",DIRECT EVIDENCE (label),HIGH,newly captured in Wave 2 direct re-fetch; fenofibrate's 18%/11% AUC/Cmax figures confirmed located in Section 12.3 Table 3, not Section 7
NEW_SOURCE_DISCOVERY,CKD-dosing,"LIVALO US FDA label, Dosage and Administration section (Wave 2 direct verification)",n/a,n/a,regulatory label,"moderate renal impairment (eGFR 30-59); severe renal impairment (eGFR 15-29); ESRD on hemodialysis",dose vs mild renal impairment (eGFR>=60),recommended dose,"starting dose 1mg once daily, maximum dose 2mg once daily for moderate/severe/ESRD-hemodialysis; 'no dosage adjustment recommendations for patients with mild renal impairment'; 'renal impairment is a risk factor for myopathy and rhabdomyolysis, monitor all patients with renal impairment for development of myopathy'",DIRECT EVIDENCE (label),HIGH,"resolves part of the Wave-1-flagged CKD gap for pitavastatin MONOTHERAPY dosing; does NOT address pitavastatin/ezetimibe FDC-specific CKD dosing (label DDI/dosing sections do not address the FDC combination specifically) - that sub-gap remains open"
NEW_SOURCE_DISCOVERY,CKD-dosing-crosscheck,"Tramontano D et al. Drugs. 2025 (review). Table 1.",40106181,n/a (PMCID PMC12098426),narrative review (secondary, cites StatPearls Bhatti/Tadi 2023 and Bellosta S et al Circulation 2004 as its own sources),n/a,cross-statin comparison,renal excretion % and CKD dose ceiling by statin,"pitavastatin: hepatic (CYP2C9/2C8 minor) + renal, 15% renal excretion, dose ceiling in eGFR G3a-G5 = 2mg (lowest ceiling of all 7 statins tabulated: atorvastatin 20mg, rosuvastatin 10mg, simvastatin 40mg, pravastatin 40mg, fluvastatin 80mg)",INDIRECT EVIDENCE (secondary review table, independently cross-confirmed against primary FDA label above),HIGH,"downloaded and LlamaParse-parsed lawfully (CC BY-NC 4.0, PMC open access) - see fulltext-manifest.md"
LEGACY_VERIFICATION,adherence-FDC-general,"Wei Q, Zhou J, Li H, Wang L, Wu Y, Ma A, Guan X. Front Pharmacol. 2023;14:1156081.",n/a,10.3389/fphar.2023.1156081,systematic review + meta-analysis (61 studies of 1814 screened; all disease areas, not statin/ezetimibe-specific),general medication population across disease areas,fixed-dose combination (FDC) vs free-equivalent combination (FEC),medication adherence (MPR/PDC >=80% probability; average MPR/PDC),"FDC vs FEC: RR 1.29 (95% CI 1.23-1.35, p<0.00001) for probability of adherence; mean difference 0.10 (95% CI 0.06-0.14, p<0.00001) in adherence measure; I2 99-100% (high heterogeneity); random-effects model (DerSimonian-Laird); Newcastle-Ottawa quality assessment",INDIRECT EVIDENCE (general FDC-vs-FEC adherence evidence, not statin/ezetimibe-specific),HIGH,"T-022, bibliographic VERIFIED_MATCH via Crossref against Director-supplied citation; abstract-level only, full text not obtained"
